Unnamed: 0,Title,Show,Author,Length,Published,Views,Likes,Comments,Privacy Status,Region Restriction Count,Tag Count,Unnamed: 12,Time
0,Election Bonds Case | Supreme Court Verdict On Election Bonds | SC Orders On Electoral Bonds,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,14m 14s,2024-02-15T16:14:55Z,666,8,0,public,,18,,14.233333333333333
1,Sandeshkhali News | What Is Happening in The Sandeshkhali Area Of West Bengal | India | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,40m 5s,2024-02-15T16:10:44Z,3070,118,44,public,,21,,40.083333333333336
2,"Modi, Mandir, Manthan: UAE Gets First Hindu Temple | PM Modi In UAE | UAE BAPS Temple | News18",The_Right_Stand_With_Anand_Narasimhan,CNN-News18,36m 7s,2024-02-14T15:40:34Z,1072,9,1,public,,16,,36.11666666666667
3,PM Modi UAE Visit | Modi News | Ahlan Modi Event In Abu Dhabi | Mohd Bin Zayed Al Nahyan | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,1h 2m 39s,2024-02-13T16:05:53Z,1046,12,0,public,,21,,62.65
4,"8 Convicted Navy Veterans Pardoned By Qatar, Thank Modi For Release | English News | News18",The_Right_Stand_With_Anand_Narasimhan,CNN-News18,3m 14s,2024-02-12T16:13:38Z,597,5,0,public,,18,,3.2333333333333334
5,"""Cannot Be Spectators"": Smriti Irani Slams Mamata Banerjee on Sandeshkhali | English News | News18",The_Right_Stand_With_Anand_Narasimhan,CNN-News18,12m 38s,2024-02-12T16:10:01Z,972,20,4,public,,22,,12.633333333333333
6,Setback To India Bloc As Ex-Maharashtra Chief Minister Ashok Chavan Quits Congress | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,17m 52s,2024-02-12T16:06:53Z,758,4,3,public,,21,,17.866666666666667
7,BJP Slams Lawlessness In West Bengal & Stage Protest Amid Allegations Of Rape Against TMC | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,29m 11s,2024-02-12T16:01:50Z,29485,610,268,public,,22,,29.183333333333334
8,"Outsider No More?Why Bharat Ratna for Narasimha Rao is Coup by BJP, Has Cong Licking Wounds | News18",The_Right_Stand_With_Anand_Narasimhan,CNN-News18,21m 33s,2024-02-09T16:19:09Z,10621,92,44,public,,14,,21.55
9,Parliament Debates On White Paper Tabled By Nirmala Sitharaman | Parliament News Today | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,32m 2s,2024-02-09T16:14:29Z,1317,5,1,public,,26,,32.03333333333333
10,Ballot In Pakistan: Gun Raj In Pakistan Occupied Kashmir? | Pakistan Elections 2024 | English News,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,18m 26s,2024-02-08T17:21:08Z,808,3,0,public,,21,,18.433333333333334
11,White Vs Black Paper: Economy Debate Settled? | White Paper In Lok Sabha | English News | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,33m 56s,2024-02-08T17:07:28Z,5524,49,8,public,,27,,33.93333333333333
12,UCC Showdown: Uttarakhand's Template For Bharat? | Uttarakhand UCC News | Uniform Civil Code News,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,26m 4s,2024-02-07T15:37:35Z,3918,24,7,public,,23,,26.066666666666666
13,10 Years UPA VS 10 Years MODI: Will White Paper Settle Debate? | Lok Sabha Elections 2024 | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,23m 36s,2024-02-07T15:31:48Z,1600,25,1,public,,19,,23.6
14,"PM Modi News | PM Modi Predicts 370 Seats For BJP, 400+ For NDA In Lok Sabha Polls | News18",The_Right_Stand_With_Anand_Narasimhan,CNN-News18,23m 49s,2024-02-06T15:52:12Z,1809,15,5,public,,23,,23.816666666666666
15,Uniform Civil Code Bill Tabled in Uttarakhand Assembly | Uniform Civil Code | English News | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,30m 45s,2024-02-06T15:16:07Z,1418,14,3,public,,16,,30.75
16,Grammy Awards | Shankar Mahadevan And Zakir Hussain Won Laurels For Their Band Shakti | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,8m 49s,2024-02-05T15:34:53Z,22861,79,9,public,,24,,8.816666666666666
17,"PM Modi Guarantee Vs Oppn 'Cancel, Culture': Lok Sabha 2024, A Forgone Conclusion? | The Right Stand",The_Right_Stand_With_Anand_Narasimhan,CNN-News18,42m 35s,2024-02-05T15:27:41Z,1866,13,4,public,,25,,42.583333333333336
18,India's Cybersecurity Challenge: Threats And Strategies | Cyber Terror Threat | English News,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,10m 44s,2024-02-02T16:14:46Z,610,5,0,public,,27,,10.733333333333333
19,Gyanvapi Verdict News | Gyanvapi Dispute : Is An Amicable Solution Possible ? | Gyanvapi News,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,42m 50s,2024-02-02T15:32:13Z,14809,154,79,public,,22,,42.833333333333336
20,Budget 2024 Precursor | Tech In Budget: Player or Destroyer? | Indian Budget 2024 Updates | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,22m 22s,2024-01-31T15:56:03Z,1037,8,1,public,,25,,22.366666666666667
21,Kerala Court Orders For Death Penalty To 15 PFI Members For Murdering OBC BJP Wing Leader | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,9m 33s,2024-01-30T15:52:58Z,10489,225,47,public,,27,,9.55
22,Hemant Soren Today | Jharkhand CM Hemant Soren ED News Live | Hemant Soren Delhi House | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,43m 31s,2024-01-30T15:47:34Z,1741,10,0,public,,22,,43.516666666666666
23,55 Hindu Deity Sculptures Found Inside Gyanvapi Complex: ASI Survey Report On Mosque | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,39m 9s,2024-01-29T15:48:46Z,9022,117,38,public,,22,,39.15
24,Ram Mandir Special: Mega 'Pran Pratishtha' Rewind | Ayodhya Ram Mandir Pran Pratishtha | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,57m 58s,2024-01-26T15:47:13Z,5313,41,1,public,,23,,57.96666666666667
25,Modi- Macron Bonhomie: Shaping A New Chapter In Ties | Emmanuel Macron In India | English News,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,9m 44s,2024-01-25T16:14:40Z,901,6,1,public,,17,,9.733333333333333
26,2024 Mahayudh: Modi Guarantee Vs Wobbly Opposition | Lok Sabha Elections 2024 | English News,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,35m 19s,2024-01-25T16:09:38Z,2726,24,4,public,,22,,35.31666666666667
27,Ayodhya Ram Mandir | Manish Tripathi Exclusive : The Man Who Designed Ram Lalla's Attire | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,11m 34s,2024-01-24T16:06:49Z,462,2,0,public,,22,,11.566666666666666
28,Do We Need To Learn Lessons On 'Sustainability'? | The Right Stand With Anand Naramsihan | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,23m 44s,2024-01-24T08:45:44Z,524,3,0,public,,22,,23.733333333333334
29,Mahabharat's Krishna On Ram | Nitish Bharadwaj's Exclusive Interview On Ram | Ram Mandir | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,21m 51s,2024-01-23T15:44:37Z,110395,2332,277,public,,18,,21.85
30,Discussion Over Women & Hindu Tradition | Dayanand Kanya Gurukul | Women's Education In India,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,27m 1s,2024-01-23T15:40:14Z,5052,237,35,public,,24,,27.016666666666666
31,Ram Mandir Ayodhya | PM Modi Unveils Lord Ram Idol | Ram Temple Consecration Ceremony | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,49m 47s,2024-01-22T16:43:35Z,2085,24,2,public,,18,,49.78333333333333
32,Actor And Author Anupam Kher Talks About Ayodhya Ram Mandir's Pran Pratishtha Ceremony | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,13m 5s,2024-01-21T16:44:41Z,12201,114,7,public,,20,,13.083333333333334
33,Ram Lalla Virajman: Special From Ayodhya | Ram Mandir Ayodhya | Ram Temple Inauguration | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,32m 32s,2024-01-19T16:35:29Z,993,8,0,public,,19,,32.53333333333333
34,Pranam Siya Ram': Team Behind 'Ram Anthem' | Ram Mandir Ayodhya | Ram Temple Inauguration | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,9m 35s,2024-01-19T16:30:22Z,1542,9,0,public,,19,,9.583333333333334
35,"Exclusive: Brahmarishi Mohanji Interview | Brahmarishi Mohanji On Ram, Mandir And Bharat | News18",The_Right_Stand_With_Anand_Narasimhan,CNN-News18,19m 53s,2024-01-18T17:04:00Z,2049,57,28,public,,19,,19.883333333333333
36,Hindutva Inclusive In Thought? | Ram Mandir Ayodhya | Ram Temple | Ram Temple Inauguration | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,32m 56s,2024-01-18T16:54:11Z,1232,14,3,public,,19,,32.93333333333333
37,Ayodhya Ram Mandir News | Ram Mandir : Tracing The Longest Legal Battle 1528-2019 | English News,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,54m 1s,2024-01-17T16:31:26Z,43939,606,123,public,,22,,54.016666666666666
38,Hinduvta : Knowledge Or Belief System | Hinduvta | Hinduism | Ayodhya Ram Mandir | English News,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,21m 53s,2024-01-16T15:45:27Z,873,10,0,public,,19,,21.883333333333333
39,India Maldives Diplomatic Relations | Relations Between India And Maldives After The Controversy,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,24m 36s,2024-01-15T15:47:23Z,5243,32,19,public,,22,,24.6
40,"Ram Mandir Ayodhya News | Can An Unfinished Temple Be Consecrated? | Ram, Bharat & Hindutva!",The_Right_Stand_With_Anand_Narasimhan,CNN-News18,25m 36s,2024-01-15T15:44:35Z,3184,33,3,public,,23,,25.6
41,Ram Mandir Ayodhya | Politics Over The 'Pran Pratishtha' Ceremony Of Lord Ram | Ayodhya Ram Temple,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,28m 17s,2024-01-12T17:05:22Z,1971,13,6,public,,19,,28.283333333333335
42,Ram Mandir Ayodhya | Author Amish Tripathi Full Interview On His New Book 'Idols' | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,26m,2024-01-12T16:59:43Z,5323,112,10,public,,21,,0.0
