,Title,Theme,Show,Author,Length,Published,Views,Likes,Comments,Privacy Status,Region Restriction Count,Tag Count,
0,Election Bonds Case | Supreme Court Verdict On Election Bonds | SC Orders On Electoral Bonds,Legal issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,14m 14s,2024-02-15T16:14:55Z,666,8,0,public,,18,
1,Sandeshkhali News | What Is Happening in The Sandeshkhali Area Of West Bengal | India | News18,Criticizing Opposition,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,40m 5s,2024-02-15T16:10:44Z,3070,118,44,public,,21,
2,"Modi, Mandir, Manthan: UAE Gets First Hindu Temple | PM Modi In UAE | UAE BAPS Temple | News18",Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,36m 7s,2024-02-14T15:40:34Z,1072,9,1,public,,16,
3,PM Modi UAE Visit | Modi News | Ahlan Modi Event In Abu Dhabi | Mohd Bin Zayed Al Nahyan | News18,Foreign Relations (excluding Pakistan),The_Right_Stand_With_Anand_Narasimhan,CNN-News18,1h 2m 39s,2024-02-13T16:05:53Z,1046,12,0,public,,21,
4,"8 Convicted Navy Veterans Pardoned By Qatar, Thank Modi For Release | English News | News18",Praising Ruling Party,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,3m 14s,2024-02-12T16:13:38Z,597,5,0,public,,18,
5,"""Cannot Be Spectators"": Smriti Irani Slams Mamata Banerjee on Sandeshkhali | English News | News18",Criticizing Opposition,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,12m 38s,2024-02-12T16:10:01Z,972,20,4,public,,22,
6,Setback To India Bloc As Ex-Maharashtra Chief Minister Ashok Chavan Quits Congress | News18,Criticizing Opposition,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,17m 52s,2024-02-12T16:06:53Z,758,4,3,public,,21,
7,BJP Slams Lawlessness In West Bengal & Stage Protest Amid Allegations Of Rape Against TMC | News18,Criticizing Opposition,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,29m 11s,2024-02-12T16:01:50Z,29485,610,268,public,,22,
8,"Outsider No More?Why Bharat Ratna for Narasimha Rao is Coup by BJP, Has Cong Licking Wounds | News18",Criticizing Opposition,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,21m 33s,2024-02-09T16:19:09Z,10621,92,44,public,,14,
9,Parliament Debates On White Paper Tabled By Nirmala Sitharaman | Parliament News Today | News18,Economy,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,32m 2s,2024-02-09T16:14:29Z,1317,5,1,public,,26,
10,Ballot In Pakistan: Gun Raj In Pakistan Occupied Kashmir? | Pakistan Elections 2024 | English News,Pakistan,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,18m 26s,2024-02-08T17:21:08Z,808,3,0,public,,21,
11,White Vs Black Paper: Economy Debate Settled? | White Paper In Lok Sabha | English News | News18,Economy,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,33m 56s,2024-02-08T17:07:28Z,5524,49,8,public,,27,
12,UCC Showdown: Uttarakhand's Template For Bharat? | Uttarakhand UCC News | Uniform Civil Code News,Legal issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,26m 4s,2024-02-07T15:37:35Z,3918,24,7,public,,23,
13,10 Years UPA VS 10 Years MODI: Will White Paper Settle Debate? | Lok Sabha Elections 2024 | News18,Economy,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,23m 36s,2024-02-07T15:31:48Z,1600,25,1,public,,19,
14,"PM Modi News | PM Modi Predicts 370 Seats For BJP, 400+ For NDA In Lok Sabha Polls | News18",Praising Ruling Party,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,23m 49s,2024-02-06T15:52:12Z,1809,15,5,public,,23,
15,Uniform Civil Code Bill Tabled in Uttarakhand Assembly | Uniform Civil Code | English News | News18,Legal issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,30m 45s,2024-02-06T15:16:07Z,1418,14,3,public,,16,
16,Grammy Awards | Shankar Mahadevan And Zakir Hussain Won Laurels For Their Band Shakti | News18,Others,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,8m 49s,2024-02-05T15:34:53Z,22861,79,9,public,,24,
